Title,Cluster
Witness for the Prosecution,0
The Dark Knight Rises,0
WALL·E,0
American Beauty,0
Once Upon a Time in America,0
Aliens,1
Citizen Kane,0
North by Northwest,3
Vertigo,0
Star Wars: Episode VI - Return of the Jedi,2
Braveheart,0
Reservoir Dogs,2
Double Indemnity,5
Requiem for a Dream,1
Lawrence of Arabia,1
The Kid,1
A Clockwork Orange,0
Amadeus,1
To Kill a Mockingbird,0
Eternal Sunshine of the Spotless Mind,0
Singin' in the Rain,0
Taxi Driver,0
The Sting,4
Toy Story 3,1
2001: A Space Odyssey,0
Full Metal Jacket,0
Baby Driver,4
Toy Story,0
Inglourious Basterds,3
Snatch,0
The Apartment,0
All About Eve,5
Monty Python and the Holy Grail,0
Scarface,0
L.A. Confidential,0
Good Will Hunting,0
The Treasure of the Sierra Madre,0
Indiana Jones and the Last Crusade,0
Some Like It Hot,0
Batman Begins,2
Up,4
The Third Man,0
Unforgiven,4
Judgment at Nuremberg,0
Raging Bull,5
The Great Escape,0
Heat,3
Die Hard,0
The Gold Rush,0
Chinatown,0
On the Waterfront,5
Mr. Smith Goes to Washington,0
The General,0
Inside Out,4
The Bridge on the River Kwai,2
Room,4
La La Land,0
Logan,4
Blade Runner,0
"Lock, Stock and Two Smoking Barrels",0
Casino,0
A Beautiful Mind,2
The Elephant Man,0
Warrior,1
V for Vendetta,4
The Wolf of Wall Street,0
Dial M for Murder,5
Hacksaw Ridge,0
Gone with the Wind,4
The Message,0
Rebecca,0
Trainspotting,0
The Deer Hunter,5
Cool Hand Luke,0
Gran Torino,0
The Big Lebowski,1
The Thing,1
It Happened One Night,2
Fargo,0
The Sixth Sense,0
Finding Nemo,2
Mary and Max,0
No Country for Old Men,0
How to Train Your Dragon,4
There Will Be Blood,2
Into the Wild,2
Kill Bill: Vol. 1,1
Gone Girl,0
Life of Brian,0
Network,0
Shutter Island,0
In the Name of the Father,5
Rush,1
Hotel Rwanda,0
Platoon,4
Song of the Sea,4
Ben-Hur,0
Stand by Me,2
Hachi: A Dog's Tale,0
Kind Hearts and Coronets,0
The Maltese Falcon,0
Butch Cassidy and the Sundance Kid,0
The Legend of 1900,0
Spotlight,1
Brief Encounter,4
The Best Years of Our Lives,0
The Grapes of Wrath,2
12 Years a Slave,0
The Grand Budapest Hotel,1
Mad Max: Fury Road,3
The Princess Bride,1
What Ever Happened to Baby Jane?,0
Million Dollar Baby,4
Jurassic Park,0
Touch of Evil,0
Spider-Man: Homecoming,0
Before Sunrise,4
The Truman Show,5
Harry Potter and the Deathly Hallows: Part 2,0
Star Wars: The Force Awakens,0
"Paris, Texas",2
The Last Picture Show,3
Gandhi,0
Barry Lyndon,5
Rocky,0
Annie Hall,0
Prisoners,0
Donnie Darko,0
Catch Me If You Can,1
The Man Who Shot Liberty Valance,0
Laura,4
"Monsters, Inc.",0
The Bourne Ultimatum,0
Cat on a Hot Tin Roof,0
The Wizard of Oz,0
Sleuth,0
Roman Holiday,0
Out of the Past,0
Anatomy of a Murder,0
Who's Afraid of Virginia Woolf?,4
The Terminator,0
Groundhog Day,0
The Help,5
Strangers on a Train,0
The Night of the Hunter,4
All Quiet on the Western Front,4
Beauty and the Beast,4
Lion,2
Twelve Monkeys,0
Guardians of the Galaxy,3
Dog Day Afternoon,0
Jaws,0
Zootopia,0
Guardians of the Galaxy Vol. 2,2
Pirates of the Caribbean: The Curse of the Black Pearl,0
Before Sunset,0
The Imitation Game,0
Young Frankenstein,5
Stalag 17,0
Dogville,4
Dead Poets Society,0
High Noon,0
Papillon,0
A Streetcar Named Desire,0
Arsenic and Old Lace,2
Sin City,0
The Hustler,5
A Night at the Opera,0
The Killing,0
The Avengers,0
Notorious,3
Harvey,2
The Martian,5
The Exorcist,0
Rio Bravo,4
The Philadelphia Story,0
Rope,2
The Big Sleep,2
Pink Floyd: The Wall,0
The King's Speech,1
A Christmas Story,4
The Graduate,0
JFK,0
Sling Blade,0
Blood Diamond,0
Magnolia,5
Rain Man,0
The Revenant,0
The Nightmare Before Christmas,0
The Manchurian Candidate,0
Deadpool,0
The Wild Bunch,5
Aladdin,0
Big Fish,0
Patton,1
The Lost Weekend,1
Short Term 12,0
His Girl Friday,0
The Straight Story,5
Slumdog Millionaire,0
Anand,1
Drishyam,2
Nayakan,0
Anbe Sivam,4
Dangal,0
Gol Maal,0
Black Friday,0
Like Stars on Earth,5
Jaane Bhi Do Yaaro,0
3 Idiots,0
Pather Panchali,2
Chupke Chupke,2
Thalapathi,0
Khosla Ka Ghosla!,0
A Wednesday,0
Thani Oruvan,0
Rang De Basanti,3
Baahubali 2: The Conclusion,0
Drishyam,2
Sholay,2
Talvar,5
Hera Pheri,0
Munna Bhai M.B.B.S.,0
Andaz Apna Apna,0
Paan Singh Tomar,1
Queen,2
Black,4
Jo Jeeta Wohi Sikandar,0
Gangs of Wasseypur,0
Swades,0
OMG: Oh My God!,0
Shahid,1
Bhaag Milkha Bhaag,1
The World of Apu,0
Udaan,0
Chak de! India,0
Jigarthanda,5
Kahaani,0
Satya,5
Pink,4
Dil Chahta Hai,0
Aparajito,0
Premam,4
Lagaan: Once Upon a Time in India,1
PK,0
Ustad Hotel,5
Roja,4
Sarfarosh,2
Iqbal,0
Maqbool,1
Bangalore Days,0
Sairat,0
Omkara,0
Lage Raho Munna Bhai,0
Zindagi Na Milegi Dobara,0
Baasha,5
Bommarillu,4
Dilwale Dulhania Le Jayenge,0
Barfi!,4
Ugly,1
The Legend of Bhagat Singh,1
Deewaar,0
Anniyan,0
Haider,4
Mother India,4
Masaan,0
Dev D,4
Gulaal,0
Athadu,0
Bombay,4
Lucia,0
Company,0
Special 26,0
Hindustani,0
Jab We Met,4
Manjhi: The Mountain Man,0
Vaastav: The Reality,0
Airlift,0
Bajrangi Bhaijaan,2
Ankhon Dekhi,0
Baahubali: The Beginning,0
Kal Ho Naa Ho,0
Hey Ram,0
Baby,5
Ab Tak Chhappan,1
Lakshya,5
Johnny Gaddaar,0
My Name Is Khan,5
Gangaajal,5
English Vinglish,0
Vaaranam Aayiram,0
Border,0
Manam,2
Hindi Medium,0
Rock On!!,0
Okkadu,4
Don,0
Mr. India,2
Oye Lucky! Lucky Oye!,0
RangiTaranga,0
The Lunchbox,4
Udta Punjab,0
Vicky Donor,0
Nayak: The Real Hero,0
Kapoor & Sons,2
Samsara,0
Guru,0
Earth,4
Aamir,0
Eega,0
Agneepath,4
Veer-Zaara,0
Pokiri,0
Pyaar Ka Punchnama,2
Neerja,1
Sarkar,1
Madras Cafe,3
Kabhi Haan Kabhi Naa,0
Darr,0
Bheja Fry,0
Tanu Weds Manu Returns,0
Kuch Kuch Hota Hai,0
Kai po che!,0
M.S. Dhoni: The Untold Story,1
The Ghazi Attack,0
24,0
Baazigar,4
Detective Byomkesh Bakshy!,0
Jodhaa Akbar,0
Wake Up Sid,4
Highway,4
Aankhen,2
Magadheera,0
Delhi Belly,0
Piku,0
Rockstar,0
Qayamat Se Qayamat Tak,4
Dil Se..,1
Saala Khadoos,1
Socha Na Tha,0
Devdas,2
Hum Aapke Hain Koun...!,0
Khakee,0
Hum Dil De Chuke Sanam,4
Kaththi,0
Raanjhanaa,0
Hungama,1
Rangeela,4
Ghilli,2
1 - Nenokkadine,0
Rocket Singh: Salesman of the Year,0
Jaane Tu... Ya Jaane Na,0
Madaari,2
Peepli (Live),5
Thuppakki,5
Dum Laga Ke Haisha,0
Ghajini,0
Dear Zindagi,0
Mankatha,0
Baghban,5
Yuva,0
Badlapur,2
Guzaarish,0
Khiladi,0
Chachi 420,0
Kaminey,1
Kabhi Khushi Kabhie Gham...,0
Sivaji,0
Once Upon a Time in Mumbai,0
Maine Pyar Kiya,0
Monsoon Wedding,0
Life in a Metro,0
Page 3,0
Jolly LLB,0
Ghulam,0
Ishqiya,0
Khaleja,0
Golmaal: Fun Unlimited,0
Lootera,5
Mardaani,0
Raman Raghav 2.0,0
Parineeta,1
Shaitan,0
Ghajini,0
Srimanthudu,0
Band Baaja Baaraat,0
Holiday,0
Pyaar Ka Punchnama 2,2
Bhool Bhulaiyaa,2
Dookudu,0
Shanghai,5
Namastey London,1
Taxi No. 9 2 11: Nau Do Gyarah,0
Tere Bin Laden,0
No One Killed Jessica,0
Jolly LLB 2,0
Te3n,0
D-Day,1
Nanban,0
Ayan,4
Nannaku Prematho,5
Uppi 2,1
Paa,4
Talaash,0
Mohra,0
Nh10,0
Fanaa,0
i,0
Don,0
Gunda,3
Dedh Ishqiya,0
Bajirao Mastani,5
Gadar: Ek Prem Katha,1
Gabbar is Back,0
Raajneeti,2
Wazir,0
Yennai Arindhaal,0
Dasavatharam,5
Tamasha,1
Shootout at Lokhandwala,0
Dhobi Ghat,1
Dhamaal,0
Race Gurram,0
Luck by Chance,0
Koi... Mil Gaya,4
Atharintiki Daaredi,2
Rab Ne Bana Di Jodi,0
Table No. 21,0
Sanam Teri Kasam,2
The Great Father,0
Chaar Sahibzaade,0
Hum Tum,0
Tere Naam,0
Pokkiri,0
Mohabbatein,0
Dil To Pagal Hai,0
Sultan,0
Rustom,0
Pardes,0
Karthik Calling Karthik,0
Waqt: The Race Against Time,0
Raju Ban Gaya Gentleman,0
Kaabil,0
Business Man,0
Saathiya,0
Fashion,0
Main Hoon Na,5
2 States,0
Don 2,5
Yeh Jawaani Hai Deewani,0
"The Good, the Bad and the Ugly",0
Seven Samurai,0
City of God,0
Life Is Beautiful,0
Spirited Away,0
Once Upon a Time in the West,0
The Intouchables,4
Cinema Paradiso,0
The Lives of Others,0
Grave of the Fireflies,4
Princess Mononoke,0
Oldboy,2
Das Boot,1
M,0
Amélie,0
Your Name,0
Bicycle Thieves,0
For a Few Dollars More,0
The Hunt,0
My Father and My Son,2
Rashomon,0
A Separation,0
Metropolis,0
Yojimbo,0
Downfall,0
Children of Heaven,2
Ikiru,0
Pan's Labyrinth,4
My Neighbor Totoro,0
Ran,0
The Secret in Their Eyes,0
Howl's Moving Castle,4
Incendies,2
The Seventh Seal,0
Andrei Rublev,1
Wild Strawberries,2
The Bandit,1
Sunrise,5
Tokyo Story,5
The Passion of Joan of Arc,0
Come and See,4
Wild Tales,0
The Wages of Fear,0
The 400 Blows,4
Persona,0
Memories of Murder,4
Amores Perros,0
Stalker,0
The Nights of Cabiria,0
Nausicaä of the Valley of the Wind,0
Diabolique,1
8½,0
La Haine,4
Infernal Affairs,0
The Battle of Algiers,0
In the Mood for Love,4
Avatar,0
Pirates of the Caribbean: At World's End,0
Spectre,0
The Lone Ranger,0
John Carter,0
Tangled,1
Spider-Man 3,0
Avengers: Age of Ultron,0
Captain America: Civil War,0
Batman v Superman: Dawn of Justice,0
The Hobbit: An Unexpected Journey,3
Harry Potter and the Half-Blood Prince,0
The Hobbit: The Desolation of Smaug,1
The Hobbit: The Battle of the Five Armies,0
Pirates of the Caribbean: On Stranger Tides,0
Superman Returns,0
Quantum of Solace,0
Pirates of the Caribbean: Dead Man's Chest,0
Man of Steel,0
The Chronicles of Narnia: Prince Caspian,1
The Amazing Spider-Man,2
Jurassic World,0
Men in Black 3,0
Transformers: Revenge of the Fallen,0
Transformers: Age of Extinction,0
X-Men: The Last Stand,0
Robin Hood,0
Battleship,0
The Golden Compass,4
King Kong,0
Titanic,0
Iron Man 3,0
Spider-Man 2,0
Alice in Wonderland,0
Skyfall,0
Monsters University,0
Oz the Great and Powerful,0
X-Men: Days of Future Past,1
The Amazing Spider-Man 2,0
Cars 2,0
TRON: Legacy,1
2012,2
Terminator Salvation,0
Green Lantern,0
Prince of Persia: The Sands of Time,4
Transformers: Dark of the Moon,1
Jack the Giant Slayer,1
Furious 7,2
Star Trek Into Darkness,0
World War Z,0
The Great Gatsby,0
A Christmas Carol,5
Pacific Rim,0
The Good Dinosaur,0
Iron Man,2
Indiana Jones and the Kingdom of the Crystal Skull,0
Brave,0
Star Trek Beyond,1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0
Maleficent,0
Rush Hour 3,2
The Legend of Tarzan,0
Hugo,0
Jupiter Ascending,4
X-Men: Apocalypse,2
Edge of Tomorrow,0
The Jungle Book,2
Monsters vs. Aliens,4
Suicide Squad,0
G.I. Joe: The Rise of Cobra,5
Wild Wild West,1
The Mummy: Tomb of the Dragon Emperor,0
Evan Almighty,0
Waterworld,4
47 Ronin,0
Time Traveller,5
Iron Man 2,0
Captain America: The Winter Soldier,0
Dawn of the Planet of the Apes,0
The Polar Express,4
Snow White and the Huntsman,0
Terminator 3: Rise of the Machines,0
Tomorrowland,0
Alice Through the Looking Glass,0
Shrek Forever After,0
Big Hero 6,3
Wreck-It Ralph,0
Independence Day: Resurgence,0
Shrek the Third,0
The Hunger Games: Mockingjay - Part 2,0
The Fast and the Furious,0
Shin Godzilla,0
X-Men: First Class,0
The Curious Case of Benjamin Button,0
The Sorcerer's Apprentice,0
Poseidon,1
Warcraft: The Beginning,0
The Chronicles of Narnia: The Voyage of the Dawn Treader,1
Terminator Genisys,0
Alexander,0
Pearl Harbor,1
Transformers,5
Frozen,0
Harry Potter and the Order of the Phoenix,0
Harry Potter and the Goblet of Fire,4
The Matrix Reloaded,0
I Am Legend,0
Hancock,0
Charlie and the Chocolate Factory,4
Ratatouille,4
Thor: The Dark World,0
Mission: Impossible - Rogue Nation,0
Thor,1
Madagascar: Escape 2 Africa,1
X-Men Origins: Wolverine,0
Night at the Museum: Battle of the Smithsonian,0
Kung Fu Panda 2,0
The Matrix Revolutions,1
Mission: Impossible III,0
Angels & Demons,0
Troy,5
The Last Airbender,4
Bee Movie,0
G-Force,0
Bolt,1
Wrath of the Titans,0
Beowulf,1
Dark Shadows,5
White House Down,3
The Wolfman,0
Pan,0
Mars Needs Moms,4
Passengers,0
Flushed Away,1
Madagascar 3: Europe's Most Wanted,0
Mission: Impossible - Ghost Protocol,1
How to Train Your Dragon 2,0
Mr. Peabody & Sherman,1
Rise of the Guardians,0
Sahara,0
Ghostbusters,0
Die Another Day,0
Star Trek,1
Armageddon,2
Men in Black II,0
Captain America: The First Avenger,0
Kung Fu Panda 3,0
Lethal Weapon 4,0
G.I. Joe: Retaliation,1
The Last Samurai,5
Fun with Dick and Jane,0
Exodus: Gods and Kings,1
The BFG,5
Gods of Egypt,0
Spider-Man,2
Watchmen,0
Stealth,0
The Incredible Hulk,0
Hulk,0
Final Fantasy: The Spirits Within,0
The Twilight Saga: Breaking Dawn - Part 2,2
The Croods,2
The World Is Not Enough,0
Rango,0
Master and Commander: The Far Side of the World,0
Turbo,0
Teenage Mutant Ninja Turtles: Out of the Shadows,2
Happy Feet Two,2
War of the Worlds,2
Penguins of Madagascar,1
The Hunger Games: Catching Fire,0
Harry Potter and the Prisoner of Azkaban,0
Kung Fu Panda,1
Ant-Man,0
Home,5
Puss in Boots,5
Megamind,1
Bad Boys II,0
Rio 2,0
Salt,0
Noah,0
The Adventures of Tintin,0
After Earth,0
Australia,0
R.I.P.D.,0
Dinosaur,5
Night at the Museum: Secret of the Tomb,0
Harry Potter and the Deathly Hallows: Part II,0
The Hunger Games: Mockingjay - Part 1,0
Harry Potter and the Sorcerer's Stone,4
Harry Potter and the Deathly Hallows: Part I,0
The Da Vinci Code,0
X-Men 2,1
Fast Five,0
Teenage Mutant Ninja Turtles,3
Sherlock Holmes: A Game of Shadows,0
The Day After Tomorrow,0
Clash of the Titans,0
Prometheus,0
The Bourne Legacy,5
Batman & Robin,0
Total Recall,0
The 13th Warrior,4
How the Grinch Stole Christmas,0
Mission: Impossible II,0
The Perfect Storm,5
Fantastic 4: Rise of the Silver Surfer,1
Life of Pi,4
Ghost Rider,0
Jason Bourne,1
Charlie's Angels: Full Throttle,1
Elysium,0
Oblivion,0
Stuart Little 2,0
RoboCop,0
The Chronicles of Riddick,1
Fantastic Four,1
Speed Racer,2
The Island,0
How Do You Know,0
Trolls,2
Knight and Day,4
Star Wars: Episode I - The Phantom Menace,4
Star Wars: Episode III - Revenge of the Sith,0
Star Wars: Episode II - Attack of the Clones,0
The Wolverine,0
Dante's Peak,0
The Huntsman: Winter's War,0
Windtalkers,0
Asterix at the Olympic Games,0
Gulliver's Travels,0
Gravity,0
Night at the Museum,0
Mr. & Mrs. Smith,0
San Andreas,0
The Smurfs,0
Live Free or Die Hard,4
Insurgent,0
Ocean's Twelve,0
Tomorrow Never Dies,0
The Patriot,0
300: Rise of an Empire,0
The Aviator,0
The Green Hornet,0
Real Steel,0
The Smurfs 2,1
Allegiant,2
The Taking of Pelham 123,0
Ender's Game,0
Home on the Range,0
Speed 2: Cruise Control,0
Kingdom of Heaven,0
Around the World in 80 Days,0
The Cat in the Hat,0
Ali,0
"I, Robot",0
Stuart Little,2
Town & Country,0
Gone in Sixty Seconds,0
Public Enemies,1
Casino Royale,0
Minority Report,0
Cloud Atlas,5
Harry Potter and the Chamber of Secrets,0
Batman Forever,1
Planet of the Apes,5
National Treasure,0
Little Fockers,0
True Lies,0
American Gangster,0
Cloudy with a Chance of Meatballs,0
The Other Guys,0
Epic,3
Eraser,0
The Hunchback of Notre Dame,0
The Emperor's New Groove,0
The Expendables 2,0
Where the Wild Things Are,4
Eragon,0
Hercules,0
The Tourist,4
End of Days,0
The Stepford Wives,4
Surf's Up,0
Legend of the Guardians: The Owls of Ga'Hoole,4
Starship Troopers,0
Land of the Lost,0
Catwoman,4
The Expendables 3,0
Treasure Planet,1
Green Zone,0
Point Break,4
In the Heart of the Sea,0
Transcendence,0
The Spanish Prisoner,5
The Adventures of Pluto Nash,0
The Flowers of War,3
The Peanuts Movie,0
The Mummy Returns,1
Gangs of New York,0
Jack Reacher: Never Go Back,0
Cinderella,4
Ice Age: Continental Drift,0
Black Hawk Down,0
Sex and the City 2,0
Percy Jackson & the Olympians: The Lightning Thief,0
The Campaign,5
Unstoppable,4
The Fifth Element,0
The Road to El Dorado,0
The Lovely Bones,2
Seventh Son,4
Ben-Hur,0
Lara Croft: Tomb Raider,0
Jurassic Park III,0
Rise of the Planet of the Apes,0
The Spiderwick Chronicles,0
The Incredibles,2
A Good Day to Die Hard,0
The Alamo,3
Cutthroat Island,0
The Secret Life of Walter Mitty,0
Men in Black,0
Toy Story 2,0
Rush Hour 2,0
Sherlock Holmes,0
Ice Age: Dawn of the Dinosaurs,0
What Lies Beneath,1
Rio,0
Charlie's Angels,0
Mulan,4
Tropic Thunder,3
The Girl with the Dragon Tattoo,4
Contact,0
You Don't Mess with the Zohan,5
Die Hard with a Vengeance,0
Alvin and the Chipmunks: The Road Chip,0
Atlantis: The Lost Empire,3
Valkyrie,0
Pixels,0
A.I. Artificial Intelligence,0
The Haunted Mansion,2
Hollow Man,0
The Interpreter,0
Percy Jackson: Sea of Monsters,0
Lara Croft Tomb Raider: The Cradle of Life,0
Now You See Me 2,1
Spy Game,0
The Saint,1
Mission to Mars,0
Bicentennial Man,5
King Arthur: Legend of the Sword,0
Volcano,0
The Devil's Own,0
K-19: The Widowmaker,0
Conan the Barbarian,0
The Three Musketeers,1
The Nutcracker in 3D,4
Twister,0
Cinderella Man,1
Seabiscuit,0
Cast Away,0
Happy Feet,0
Ocean's Eleven,0
The Bourne Supremacy,0
Air Force One,2
Divergent,0
Hotel Transylvania,0
Enchanted,4
Safe House,4
Ocean's Thirteen,0
It's Complicated,0
Enemy of the State,0
Open Season,0
Tower Heist,3
102 Dalmatians,0
Mirror Mirror,5
The Holiday,0
The Fast and the Furious: Tokyo Drift,0
Memoirs of a Geisha,0
Enemy at the Gates,0
Last Action Hero,4
The Rundown,0
Arthur Christmas,4
Cats & Dogs: The Revenge of Kitty Galore,1
Meet Joe Black,4
Collateral Damage,2
All That Jazz,0
Dredd,0
Zodiac,0
Scott Pilgrim vs. the World,0
The Core,1
Creepshow,5
Scooby-Doo,2
Nutty Professor II: The Klumps,0
RED 2,0
Click,0
Charlotte's Web,0
Jumper,0
Hellboy II: The Golden Army,1
The Longest Yard,0
The Expendables,0
The 6th Day,0
Bruce Almighty,0
The Hunger Games,0
The Hangover Part II,0
Mission: Impossible,5
Hotel Transylvania 2,0
Batman Returns,0
The Mummy,5
Over the Hedge,2
Lilo & Stitch,0
Deep Impact,0
Grown Ups 2,2
Alvin and the Chipmunks: Chipwrecked,0
Get Smart,0
Robots,4
Something's Gotta Give,4
Four Christmases,0
Face/Off,0
Bedtime Stories,0
Road to Perdition,0
Just Go with It,0
Eagle Eye,2
Con Air,0
Yogi Bear,0
Cold Mountain,0
The Book of Eli,0
Flubber,5
The Haunting,0
Space Jam,0
Fury,0
The Pink Panther,0
Zookeeper,3
The Day the Earth Stood Still,0
Conspiracy Theory,0
Six Days Seven Nights,0
Spirit: Stallion of the Cimarron,0
Swordfish,0
Lost in Space,2
The Manchurian Candidate,0
Déjà Vu,0
Fantasia 2000,5
The Time Machine,0
What Dreams May Come,2
Mighty Joe Young,4
The Legend of Zorro,0
Little Nicky,2
Surrogates,0
Evolution,1
The Brothers Grimm,0
Mars Attacks!,0
The Edge,5
Walking with Dinosaurs 3D,0
Thirteen Days,0
Daylight,0
The Last Witch Hunter,1
Pompeii,0
Looney Tunes: Back in Action,1
Nine,0
Timeline,3
Oceans,5
Babe: Pig in the City,0
The Postman,0
Red Planet,0
Arthur and the Invisibles,0
The Invasion,0
A Sound of Thunder,0
Top Cat Begins,0
Journey 2: The Mysterious Island,0
Jack and Jill,0
Cloudy with a Chance of Meatballs 2,1
Red Dragon,1
Hidalgo,0
The League of Extraordinary Gentlemen,3
Exorcist: The Beginning,0
The Little Prince,0
Despicable Me 2,0
2 Fast 2 Furious,0
Children of Men,4
The Adventures of Rocky & Bullwinkle,4
The Secret Life of Pets,1
Independence Day,1
The Lost World: Jurassic Park,0
Ice Age: The Meltdown,0
Madagascar,0
Grown Ups,2
Shark Tale,0
X-Men,0
Wanted,0
The Rock,3
50 First Dates,0
Hairspray,0
Now You See Me,5
Dreamgirls,0
Inspector Gadget,0
Immortals,0
The Terminal,5
Monster House,0
Hotel for Dogs,0
Vertical Limit,0
Charlie Wilson's War,0
Be Cool,0
Munich,0
Killers,4
The Man from U.N.C.L.E.,0
Tears of the Sun,0
Lady in the Water,4
Spanglish,2
Bandits,0
Anna and the King,1
First Knight,0
Sucker Punch,4
Hostage,2
Hollywood Homicide,3
Titan A.E.,4
Flight of the Phoenix,0
Soldier,0
Carriers,0
Monkeybone,0
Minions,0
The SpongeBob Movie: Sponge Out of Water,0
Unbreakable,0
